Periode	bulan	USD
1	Januari	9450
2	Februari	9835
3	Maret	10400
4	April	11675
5	Mei	11058
6	Juni	11440
7	Juli	9525
8	Agustus	8865
9	September	9675
10	Oktober	10435
11	November	10430
12	Desember	10400
13	Januari	10320
14	Februari	10189
15	Maret	9655
16	April	9316
17	Mei	8785
18	Juni	8730
19	Juli	9108
20	Agustus	8867
21	September	9015
22	Oktober	9233
23	November	8976
24	Desember	8940
25	Januari	8876
26	Februari	8905
27	Maret	8908
28	April	8675
29	Mei	8279
30	Juni	8285
31	Juli	8505
32	Agustus	8535
33	September	8389
34	Oktober	8495
35	November	8537
36	Desember	8465
37	Januari	8441
38	Februari	8447
39	Maret	8587
40	April	8661
41	Mei	9210
42	Juni	9415
43	Juli	9168
44	Agustus	9328
45	September	9710
46	Oktober	9090
47	November	9018
48	Desember	9290
49	Januari	9165
50	Februari	9260
51	Maret	9480
52	April	9570
53	Mei	9495
54	Juni	9713
55	Juli	9819
56	Agustus	10240
57	September	10310
58	Oktober	10090
59	November	10035
60	Desember	9830
61	Januari	9395
62	Februari	9230
63	Maret	9075
64	April	8775
65	Mei	9220
66	Juni	9300
67	Juli	9070
68	Agustus	9100
69	September	9235
70	Oktober	9110
71	November	9165
72	Desember	9020
73	Januari	9090
74	Februari	9160
75	Maret	9118
76	April	8828
77	Mei	8828
78	Juni	9054
79	Juli	9186
80	Agustus	9410
81	September	9137
82	Oktober	9103
83	November	9376
84	Desember	9419
85	Januari	9291
86	Februari	9230
87	Maret	9217
88	April	9234
89	Mei	9318
90	Juni	9225
91	Juli	9118
92	Agustus	9153
93	September	9378
94	Oktober	10995
95	November	12151
96	Desember	10950
97	Januari	11355
98	Februari	11980
99	Maret	11575
100	April	10713
101	Mei	10340
102	Juni	10225
103	Juli	9920
104	Agustus	10060
105	September	9681
106	Oktober	9545
107	November	9480
108	Desember	9400
109	Januari	9365
110	Februari	9335
111	Maret	9115
112	April	9012
113	Mei	9180
114	Juni	9083
115	Juli	8952
116	Agustus	9041
117	September	8924
118	Oktober	8928
119	November	9013
120	Desember	8991
121	Januari	9057
122	Februari	8823
123	Maret	8709
124	April	8574
125	Mei	8537
126	Juni	8597
127	Juli	8508
128	Agustus	8578
129	September	8823
130	Oktober	8835
131	November	9170
132	Desember	9068
133	Januari	9000
134	Februari	9085
135	Maret	9180
136	April	9190
137	Mei	9565
138	Juni	9480
139	Juli	9485
140	Agustus	9560
141	September	9588
142	Oktober	9615
143	November	9605
144	Desember	9670
145	Januari	9698
146	Februari	9667
147	Maret	9719
148	April	9722
149	Mei	9802
150	Juni	9929
151	Juli	10278
152	Agustus	10924
153	September	11613
154	Oktober	11234
155	November	11977
156	Desember	12189
157	Januari	12226
158	Februari	11634
159	Maret	11404
160	April	11532
161	Mei	11611
162	Juni	11969
163	Juli	11591
164	Agustus	11717
165	September	12212
166	Oktober	12082
167	November	12196
168	Desember	12440
169	Januari	12625
170	Februari	12863
171	Maret	13084
172	April	12937
173	Mei	13211
174	Juni	13332
175	Juli	13481
176	Agustus	14027
177	September	14657
178	Oktober	13639
179	November	13840
180	Desember	13795
181	Januari	13846
182	Februari	13395
183	Maret	13276
184	April	13204
185	Mei	13615
186	Juni	13180
187	Juli	13094
188	Agustus	13300
189	September	12998
190	Oktober	13051
191	November	13563
192	Desember	13436
193	Januari	13343
194	Februari	13347
195	Maret	13321
196	April	13327
197	Mei	13321
198	Juni	13319
199	Juli	13323
200	Agustus	13351
201	September	13492
202	Oktober	13572
203	November	13514
204	Desember	13548
205	Januari	13413
206	Februari	13707
207	Maret	13756
208	April	13877
209	Mei	13951
210	Juni	14404
211	Juli	14413
212	Agustus	14711
213	September	14929
214	Oktober	15227
215	November	14339
216	Desember	14481
217	Januari	14072
218	Februari	14062
219	Maret	14244
220	April	14215
221	Mei	14385
222	Juni	14141
223	Juli	14026
224	Agustus	14237
225	September	14174
226	Oktober	14008
227	November	14102
228	Desember	13901
229	Januari	13662
230	Februari	14234
231	Maret	16367
232	April	15157
233	Mei	14733
234	Juni	14302
235	Juli	14653
236	Agustus	14554
237	September	14918
238	Oktober	14690
239	November	14128
240	Desember	14105
241	Januari	14084
242	Februari	14229
243	Maret	14572
244	April	14468
245	Mei	14310
246	Juni	14496
247	Juli	14491
248	Agustus	14374
249	September	14307
250	Oktober	14199
251	November	14340
252	Desember	14269
253	Januari	14381
254	Februari	14371
255	Maret	14349
256	April	14418
257	Mei	14544
258	Juni	14848
259	Juli	14958
260	Agustus	14875
261	September	15247
262	Oktober	15542
263	November	15737
264	Desember	15731
265	Januari	14979
266	Februari	15274
267	Maret	15062
268	April	14751
269	Mei	14969
270	Juni	15026
271	Juli	15083

