Year;Country;Total;Solid Fuel;Liquid Fuel;Gas Fuel;Cement;Gas Flaring;Per Capita;Bunker fuels (Not in Total)
1950;UNITED STATES OF AMERICA;692124;343131;244760;87123;5341;11769;4.32;8100
1951;UNITED STATES OF AMERICA;712983;330676;262189;102677;5786;11654;4.39;10253
1952;UNITED STATES OF AMERICA;694618;293170;273190;109931;5860;12468;4.21;10784
1953;UNITED STATES OF AMERICA;711175;290927;286594;115541;6209;11905;4.24;10973
1954;UNITED STATES OF AMERICA;677689;249303;290178;121179;6398;10631;3.97;10060
1955;UNITED STATES OF AMERICA;742828;280082;313292;130784;7304;11366;4.28;10842
1956;UNITED STATES OF AMERICA;778631;291582;328544;138070;7735;12699;4.41;11367
1957;UNITED STATES OF AMERICA;772001;279498;325781;147556;7278;11888;4.3;12961
1958;UNITED STATES OF AMERICA;748069;242452;332982;155759;7570;9306;4.09;11546
1959;UNITED STATES OF AMERICA;770642;248629;343465;161902;8251;8394;4.15;11623
1960;UNITED STATES OF AMERICA;788300;250536;349790;171950;7750;8274;4.18;11648
1961;UNITED STATES OF AMERICA;785521;242206;354071;173694;7854;7696;4.1;11918
1962;UNITED STATES OF AMERICA;814619;251315;364287;184598;8163;6256;4.19;11335
1963;UNITED STATES OF AMERICA;850622;269380;370976;196085;8545;5636;4.31;10425
1964;UNITED STATES OF AMERICA;887918;286347;380436;207170;8939;5025;4.44;10848
1965;UNITED STATES OF AMERICA;924713;297658;399752;213593;9019;4691;4.57;10627
1966;UNITED STATES OF AMERICA;971333;309148;417484;229860;9319;5522;4.75;11697
1967;UNITED STATES OF AMERICA;1007829;317426;433732;240525;8945;7201;4.88;13196
1968;UNITED STATES OF AMERICA;1044820;311027;461087;255557;9557;7592;5.01;14224
1969;UNITED STATES OF AMERICA;1097559;316048;486252;277861;9670;7728;5.22;12374
1970;UNITED STATES OF AMERICA;1180503;318802;556245;289086;9206;7164;5.56;13270
1971;UNITED STATES OF AMERICA;1188102;302240;572409;299380;9909;4165;5.54;12774
1972;UNITED STATES OF AMERICA;1244874;306998;619316;304496;10432;3632;5.76;12584
1973;UNITED STATES OF AMERICA;1300844;330391;654881;301168;10805;3599;5.96;14614
1974;UNITED STATES OF AMERICA;1254019;326496;627704;287164;10226;2429;5.69;14475
1975;UNITED STATES OF AMERICA;1201617;314200;609917;266957;8602;1941;5.41;14355
1976;UNITED STATES OF AMERICA;1258004;347823;627574;271413;9191;2003;5.61;16780
1977;UNITED STATES OF AMERICA;1293235;351898;666681;262797;9877;1982;5.71;20623
1978;UNITED STATES OF AMERICA;1333750;373171;680284;267531;10546;2217;5.83;23859
1979;UNITED STATES OF AMERICA;1336732;386122;660568;277023;10599;2420;5.79;26979
1980;UNITED STATES OF AMERICA;1288031;398480;604997;273264;9464;1826;5.52;30191
1981;UNITED STATES OF AMERICA;1236924;406232;555550;264716;8998;1428;5.25;27835
1982;UNITED STATES OF AMERICA;1174461;392268;526507;246386;7938;1362;4.94;23252
1983;UNITED STATES OF AMERICA;1184041;413986;525822;234041;8803;1389;4.93;21424
1984;UNITED STATES OF AMERICA;1220396;432885;534345;241877;9710;1580;5.03;21704
1985;UNITED STATES OF AMERICA;1225131;443963;535338;234710;9729;1392;5.01;21032
1986;UNITED STATES OF AMERICA;1225924;433532;558180;222922;9860;1431;4.96;20779
1987;UNITED STATES OF AMERICA;1278531;458737;572098;236077;9809;1810;5.12;21517
1988;UNITED STATES OF AMERICA;1334204;480051;594950;247462;9655;2086;5.29;23133
1989;UNITED STATES OF AMERICA;1351263;490381;592998;256119;9692;2073;5.31;25070
1990;UNITED STATES OF AMERICA;1315354;485909;543736;273788;9710;2211;5.12;35600
1991;UNITED STATES OF AMERICA;1314657;481567;534850;286432;9311;2498;5.06;37321
1992;UNITED STATES OF AMERICA;1338842;487569;547108;292063;9640;2462;5.11;39201
1993;UNITED STATES OF AMERICA;1371332;499183;558273;300327;10216;3333;5.18;36039
1994;UNITED STATES OF AMERICA;1389243;502433;566208;306454;10792;3356;5.19;35397
1995;UNITED STATES OF AMERICA;1399760;501826;566173;316938;10652;4171;5.18;37502
1996;UNITED STATES OF AMERICA;1432264;520930;582071;314272;10991;4000;5.24;36585
1997;UNITED STATES OF AMERICA;1464062;535352;596852;316631;11459;3768;5.29;34392
1998;UNITED STATES OF AMERICA;1472869;538390;609824;311509;11631;1514;5.26;34316
1999;UNITED STATES OF AMERICA;1501137;541784;618335;327459;11938;1621;5.3;38142
2000;UNITED STATES OF AMERICA;1552682;564757;632129;342282;12173;1341;5.42;40072
2001;UNITED STATES OF AMERICA;1525987;555810;634801;321651;12301;1425;5.27;30972
2002;UNITED STATES OF AMERICA;1538399;561866;628411;334252;12412;1458;5.26;37633
2003;UNITED STATES OF AMERICA;1547778;560926;648067;324514;12829;1442;5.24;33335
2004;UNITED STATES OF AMERICA;1569696;573935;662168;318710;13466;1417;5.26;38293
2005;UNITED STATES OF AMERICA;1578873;579104;667143;317152;13723;1751;5.25;41091
2006;UNITED STATES OF AMERICA;1553664;571099;653101;313999;13561;1903;5.12;42954
2007;UNITED STATES OF AMERICA;1578683;575692;648278;339433;13172;2109;5.13;45630
2008;UNITED STATES OF AMERICA;1530982;566810;611445;338359;11915;2453;4.93;41815
2009;UNITED STATES OF AMERICA;1435371;502323;586926;334871;8819;2431;4.61;38301
2010;UNITED STATES OF AMERICA;1471375;521330;590751;347716;9139;2439;4.69;40388
2011;UNITED STATES OF AMERICA;1442509;498720;575746;355630;9335;3079;4.56;40600
2012;UNITED STATES OF AMERICA;1396083;443904;566582;372277;10191;3129;4.38;29859
2013;UNITED STATES OF AMERICA;1406916;450641;562260;379659;10528;3828;4.38;31592
2014;UNITED STATES OF AMERICA;1432855;450047;576531;390719;11314;4244;4.43;30722
