t	yt	y(t-1)	xt
1	8100		11769
2	10253	8100	11654
3	10784	10253	12468
4	10973	10784	11905
5	10060	10973	10631
6	10842	10060	11366
7	11367	10842	12699
8	12961	11367	11888
9	11546	12961	9306
10	11623	11546	8394
11	11648	11623	8274
12	11918	11648	7696
13	11335	11918	6256
14	10425	11335	5636
15	10848	10425	5025
16	10627	10848	4691
17	11697	10627	5522
18	13196	11697	7201
19	14224	13196	7592
20	12374	14224	7728
21	13270	12374	7164
22	12774	13270	4165
23	12584	12774	3632
24	14614	12584	3599
25	14475	14614	2429
26	14355	14475	1941
27	16780	14355	2003
28	20623	16780	1982
29	23859	20623	2217
30	26979	23859	2420
31	30191	26979	1826
32	27835	30191	1428
33	23252	27835	1362
34	21424	23252	1389
35	21704	21424	1580
36	21032	21704	1392
37	20779	21032	1431
38	21517	20779	1810
39	23133	21517	2086
40	25070	23133	2073
41	35600	25070	2211
42	37321	35600	2498
43	39201	37321	2462
44	36039	39201	3333
45	35397	36039	3356
46	37502	35397	4171
47	36585	37502	4000
48	34392	36585	3768
49	34316	34392	1514
50	38142	34316	1621
51	40072	38142	1341
52	30972	40072	1425
53	37633	30972	1458
54	33335	37633	1442
55	38293	33335	1417
56	41091	38293	1751
57	42954	41091	1903
58	45630	42954	2109
59	41815	45630	2453
60	38301	41815	2431
61	40388	38301	2439
62	40600	40388	3079
63	29859	40600	3129
64	31592	29859	3828
65	30722	31592	4244

